Price,Area,Location,Bedrooms,Resale,Gymnasium,Lift,Parking,Maintenance,Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas_Conn,Jogging Track,Swimming Pool
220000,620,Nala Sopara,1,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No
220000,500,Vasai West,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No
220000,650,Khalapur,1,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes
220000,525,Nala Sopara,1,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No
220000,589,Palghar,1,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
220000,620,Nala Sopara,1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
220000,550,Nala Sopara,1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
220000,500,Nalasopara West,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No
220000,585,Nala Sopara,1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
220000,550,Nala Sopara,1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
220000,820,Boisar,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No
221000,580,Titwala,1,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No
222500,595,Ambernath East,1,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No
224900,510,Dombivali,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
225000,415,Virar East,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
225000,610,Badlapur East,1,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes
225000,655,Badlapur East,1,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No
225000,590,Nala Sopara,1,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes
225000,252,Naigaon East,1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No
225000,432,Taloje,1,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
225000,590,Nala Sopara,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No
225000,525,Nalasopara West,1,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
225000,580,Nala Sopara,1,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No
225500,580,Nalasopara West,1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
226500,580,Nalasopara West,1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
228300,550,Titwala,1,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No
228800,572,Vasai,1,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
230000,310,Kharghar,1,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
230000,410,Taloja,1,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No
